GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric_x,Value,Low,High,STATE,Numeric_y,S2_NDVI_existing,S3_NDVI_existing,S3_Temperature_existing,Numeric,S2_NDVI_fake,S3_NDVI_fake,S3_Temperature_fake,latitude,longitude
MALARIA_TOTAL_CASES,Total number of  malaria cases (presumed + confirmed cases),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-number-of-malaria-cases-presumed-confirmed-cases,2015,2015,2015,AFR,Africa,NGA,Nigeria,,,,16702261.0,16 702 261,,,Abuja,20627.0,-0.0609896289916908,0.1663448673331544,303.4059188672885,20627.0,-0.06098962899169086,0.16634486733315448,303.4059188672885,9.0765,7.3986
MALARIA_CONF_CASES,Number of confirmed malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-confirmed-malaria-cases,2015,2015,2015,AFR,Africa,NGA,Nigeria,,,,8068583.0,8 068 583,,,Abuja,20627.0,-0.0609896289916908,0.1663448673331544,303.4059188672885,20627.0,-0.06098962899169086,0.16634486733315448,303.4059188672885,9.0765,7.3986
MALARIA_MICR_TEST,Number of malaria suspects examined by microscopy,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-malaria-suspects-examined-by-microscopy,2015,2015,2015,AFR,Africa,NGA,Nigeria,,,,839849.0,839 849,,,Abuja,20627.0,-0.0609896289916908,0.1663448673331544,303.4059188672885,20627.0,-0.06098962899169086,0.16634486733315448,303.4059188672885,9.0765,7.3986
MALARIA_RDT_POS,Number of malaria positive cases by rapid diagnostic test (RDT),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-malaria-positive-cases-by-rapid-diagnostic-test-rdt,2015,2015,2015,AFR,Africa,NGA,Nigeria,,,,7511712.0,7 511 712,,,Abuja,20627.0,-0.0609896289916908,0.1663448673331544,303.4059188672885,20627.0,-0.06098962899169086,0.16634486733315448,303.4059188672885,9.0765,7.3986
MALARIA_SUSPECTS,Number of suspected malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-suspected-malaria-cases,2015,2015,2015,AFR,Africa,NGA,Nigeria,,,,20243915.0,20 243 915,,,Abuja,20627.0,-0.0609896289916908,0.1663448673331544,303.4059188672885,20627.0,-0.06098962899169086,0.16634486733315448,303.4059188672885,9.0765,7.3986
MALARIA_INDIG,Number of indigenous malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-indigenous-malaria-cases,2015,2015,2015,AFR,Africa,NGA,Nigeria,,,,8068583.0,8 068 583,,,Abuja,20627.0,-0.0609896289916908,0.1663448673331544,303.4059188672885,20627.0,-0.06098962899169086,0.16634486733315448,303.4059188672885,9.0765,7.3986
MALARIA_EST_MORTALITY,Estimated malaria mortality rate (per 100 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-malaria-mortality-rate-per-100-000-population,2015,2015,2015,AFR,Africa,NGA,Nigeria,,,,88.66121,88.66 [77.62-102.50],77.62234,102.50178,Abuja,20627.0,-0.0609896289916908,0.1663448673331544,303.4059188672885,20627.0,-0.06098962899169086,0.16634486733315448,303.4059188672885,9.0765,7.3986
MALARIA_MICR_POS,Number of malaria positive cases by microscopy,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-malaria-positive-cases-by-microscopy,2015,2015,2015,AFR,Africa,NGA,Nigeria,,,,556871.0,556 871,,,Abuja,20627.0,-0.0609896289916908,0.1663448673331544,303.4059188672885,20627.0,-0.06098962899169086,0.16634486733315448,303.4059188672885,9.0765,7.3986
MALARIA_PF_INDIG,Number of indigenous P. falciparum malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-indigenous-p.-falciparum-malaria-cases,2015,2015,2015,AFR,Africa,NGA,Nigeria,,,,8068583.0,8 068 583,,,Abuja,20627.0,-0.0609896289916908,0.1663448673331544,303.4059188672885,20627.0,-0.06098962899169086,0.16634486733315448,303.4059188672885,9.0765,7.3986
MALARIA_EST_INCIDENCE,Estimated malaria incidence (per 1000 population at risk),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/malaria-incidence-%28per-1-000-population-at-risk%29,2015,2015,2015,AFR,Africa,NGA,Nigeria,,,,283.81282,283.81 [227.07-351.95],227.06865,351.95488,Abuja,20627.0,-0.0609896289916908,0.1663448673331544,303.4059188672885,20627.0,-0.06098962899169086,0.16634486733315448,303.4059188672885,9.0765,7.3986
MALARIA_PRES_CASES,Number of presumed malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-presumed-malaria-cases,2015,2015,2015,AFR,Africa,NGA,Nigeria,,,,8633678.0,8 633 678,,,Abuja,20627.0,-0.0609896289916908,0.1663448673331544,303.4059188672885,20627.0,-0.06098962899169086,0.16634486733315448,303.4059188672885,9.0765,7.3986
MALARIA_EST_INCIDENCE,Estimated malaria incidence (per 1000 population at risk),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/malaria-incidence-%28per-1-000-population-at-risk%29,2016,2016,2016,AFR,Africa,NGA,Nigeria,,,,284.82542,284.83 [225.41-353.73],225.41075,353.73007,Abuja,18792.0,-0.0038528193790386,-0.8027789252259773,280.08434475143684,18792.0,-0.0038528193790386823,-0.8027789252259773,280.08434475143684,9.0765,7.3986
MALARIA_PRES_CASES,Number of presumed malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-presumed-malaria-cases,2016,2016,2016,AFR,Africa,NGA,Nigeria,,,,10358387.0,10 358 387,,,Abuja,18792.0,-0.0038528193790386,-0.8027789252259773,280.08434475143684,18792.0,-0.0038528193790386823,-0.8027789252259773,280.08434475143684,9.0765,7.3986
